,Query,Code,replace_subsysname,replace_fngname,replace_scadades,replace_scadaname,replace_scadafno,replace_alarmno,replace_alarmdes,replace_feventdetails
58,What sub-systems make up the wind turbine Transformer?,"MATCH(n{name:""Transformer""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Show all specific preventive actions for Transformer of the wind turbine,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,What specific preventive maintenance activities are required for the wind turbine Transformer?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Show specific predictive activities for the wind turbine Transformer,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,What are specific predictive activities for the Transformer of the wind turbine?,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Show specific corrective actions for fault event affecting wind turbine Transformer system,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,What are specific corrective activities for fault event causing inconsistency in the wind turbineTransformer System?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,What are different fault events affecting the Transformer System in the wind turbine?,"MATCH(p)-[:AFFECTS]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,What fault events affect the wind turbine Transformer System?,"MATCH(p)-[:AFFECTS]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,What are specific corrective activities for fault in wind turbine Transformer?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,What are specific corrective actions for wind turbine fault events affecting the Transformer?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,What are all fault events in the wind turbine which affect Transformer?,"MATCH(p)-[:AFFECTS]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,What are specific preventive actions for systems composed of Transformer in the wind turbine?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q)-[:CONSISTSOF]-(r{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,What are the specific preventive maintenance actions for wind turbine Transformer?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,What are specific preventive activities for the wind turbine Transformer System?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Transformer""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,What are some important details for the Drive Train subsystem of the wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,What are general corrective activities for the Drive Train subsystem of the wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,What are properties for Drive Train subsystem of the wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Show all details about the wind turbine’s Drive Train subsystem?,"MATCH(n{name:""Drive Train""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,What are general inspection activities for Drive Train of the wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n.InspectionActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Show general maintenance images for Drive Train of the wind turbine,"MATCH(n{name:""Drive Train""}) RETURN n.image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,What are useful visual inspection images for Drive Train of wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n.visualinspection_image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Provide a list of general corrective activities for the wind turbine Drive Train system,"MATCH(n{name:""Drive Train""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,What are general corrective maintenance activities for Drive Train system of the wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Provide general predictive activities for Drive Train of wind turbine,"MATCH(n{name:""Drive Train""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,What are general predictive activities for the Drive Train of wind turbine?,"MATCH(n{name:""Drive Train""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Show description of the wind turbine Drive Train subsystem,"MATCH(n{name:""Drive Train""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,What alarms affect the wind turbine's Drive Train?,"MATCH(n)-[:AFFECTS]-(p{name:""Drive Train""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,What fault events affect the wind turbine Drive Train subsystem?,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Show all details of fault events relating to wind turbine Drive Train subsystem,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,What are different parts of the Drive Train subsystem of the wind turbine?,"MATCH(n{name:""Drive Train""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,What does the Drive Train of the wind turbine consist of?,"MATCH(n{name:""Drive Train""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,What sub-systems make up the wind turbine Drive Train?,"MATCH(n{name:""Drive Train""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Show all specific preventive actions for Drive Train of the wind turbine,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,What specific preventive maintenance activities are required for the wind turbine Drive Train?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Show specific predictive activities for the wind turbine Drive Train,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,What are specific predictive activities for the Drive Train of the wind turbine?,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Show specific corrective actions for fault event affecting wind turbine Drive Train system,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,What are specific corrective activities for fault event causing inconsistency in the wind turbineDrive Train System?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,What are different fault events affecting the Drive Train System in the wind turbine?,"MATCH(p)-[:AFFECTS]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,What fault events affect the wind turbine Drive Train System?,"MATCH(p)-[:AFFECTS]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,What are specific corrective activities for fault in wind turbine Drive Train?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,What are specific corrective actions for wind turbine fault events affecting the Drive Train?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,What are all fault events in the wind turbine which affect Drive Train?,"MATCH(p)-[:AFFECTS]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,What are specific preventive actions for systems composed of Drive Train in the wind turbine?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q)-[:CONSISTSOF]-(r{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,What are the specific preventive maintenance actions for wind turbine Drive Train?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,What are specific preventive activities for the wind turbine Drive Train System?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Drive Train""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,What are some important details for the Foundation & Concrete Section subsystem of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,What are general corrective activities for the Foundation & Concrete Section subsystem of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,What are properties for Foundation & Concrete Section subsystem of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Show all details about the wind turbine’s Foundation & Concrete Section subsystem?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,What are general inspection activities for Foundation & Concrete Section of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.InspectionActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Show general maintenance images for Foundation & Concrete Section of the wind turbine,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,What are useful visual inspection images for Foundation & Concrete Section of wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.visualinspection_image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Provide a list of general corrective activities for the wind turbine Foundation & Concrete Section system,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,What are general corrective maintenance activities for Foundation & Concrete Section system of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Provide general predictive activities for Foundation & Concrete Section of wind turbine,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,What are general predictive activities for the Foundation & Concrete Section of wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Show description of the wind turbine Foundation & Concrete Section subsystem,"MATCH(n{name:""Foundation & Concrete Section""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,What alarms affect the wind turbine's Foundation & Concrete Section?,"MATCH(n)-[:AFFECTS]-(p{name:""Foundation & Concrete Section""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,What fault events affect the wind turbine Foundation & Concrete Section subsystem?,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Show all details of fault events relating to wind turbine Foundation & Concrete Section subsystem,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,What are different parts of the Foundation & Concrete Section subsystem of the wind turbine?,"MATCH(n{name:""Foundation & Concrete Section""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,What does the Foundation & Concrete Section of the wind turbine consist of?,"MATCH(n{name:""Foundation & Concrete Section""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,What sub-systems make up the wind turbine Foundation & Concrete Section?,"MATCH(n{name:""Foundation & Concrete Section""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Show all specific preventive actions for Foundation & Concrete Section of the wind turbine,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,What specific preventive maintenance activities are required for the wind turbine Foundation & Concrete Section?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Show specific predictive activities for the wind turbine Foundation & Concrete Section,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,What are specific predictive activities for the Foundation & Concrete Section of the wind turbine?,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Show specific corrective actions for fault event affecting wind turbine Foundation & Concrete Section system,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,What are specific corrective activities for fault event causing inconsistency in the wind turbineFoundation & Concrete Section System?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,What are different fault events affecting the Foundation & Concrete Section System in the wind turbine?,"MATCH(p)-[:AFFECTS]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,What fault events affect the wind turbine Foundation & Concrete Section System?,"MATCH(p)-[:AFFECTS]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,What are specific corrective activities for fault in wind turbine Foundation & Concrete Section?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,What are specific corrective actions for wind turbine fault events affecting the Foundation & Concrete Section?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,What are all fault events in the wind turbine which affect Foundation & Concrete Section?,"MATCH(p)-[:AFFECTS]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,What are specific preventive actions for systems composed of Foundation & Concrete Section in the wind turbine?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q)-[:CONSISTSOF]-(r{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,What are the specific preventive maintenance actions for wind turbine Foundation & Concrete Section?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,What are specific preventive activities for the wind turbine Foundation & Concrete Section System?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Foundation & Concrete Section""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,What are some important details for the Converter subsystem of the wind turbine?,"MATCH(n{name:""Converter""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,What are general corrective activities for the Converter subsystem of the wind turbine?,"MATCH(n{name:""Converter""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,What are properties for Converter subsystem of the wind turbine?,"MATCH(n{name:""Converter""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Show all details about the wind turbine’s Converter subsystem?,"MATCH(n{name:""Converter""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,What are general inspection activities for Converter of the wind turbine?,"MATCH(n{name:""Converter""}) RETURN n.InspectionActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,Show general maintenance images for Converter of the wind turbine,"MATCH(n{name:""Converter""}) RETURN n.image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,What are useful visual inspection images for Converter of wind turbine?,"MATCH(n{name:""Converter""}) RETURN n.visualinspection_image_url",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Provide a list of general corrective activities for the wind turbine Converter system,"MATCH(n{name:""Converter""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,What are general corrective maintenance activities for Converter system of the wind turbine?,"MATCH(n{name:""Converter""}) RETURN n.CorrectiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Provide general predictive activities for Converter of wind turbine,"MATCH(n{name:""Converter""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,What are general predictive activities for the Converter of wind turbine?,"MATCH(n{name:""Converter""}) RETURN n.PredictiveActivities",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Show description of the wind turbine Converter subsystem,"MATCH(n{name:""Converter""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,What alarms affect the wind turbine's Converter?,"MATCH(n)-[:AFFECTS]-(p{name:""Converter""}) RETURN n",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,What fault events affect the wind turbine Converter subsystem?,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Show all details of fault events relating to wind turbine Converter subsystem,"MATCH(n:FaultEvents)-[:TYPE]-(p)-[:AFFECTS]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,What are different parts of the Converter subsystem of the wind turbine?,"MATCH(n{name:""Converter""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,What does the Converter of the wind turbine consist of?,"MATCH(n{name:""Converter""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,What sub-systems make up the wind turbine Converter?,"MATCH(n{name:""Converter""})-[:CONSISTSOF]-(p) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Show all specific preventive actions for Converter of the wind turbine,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,What specific preventive maintenance activities are required for the wind turbine Converter?,"MATCH(n:Preventive)-[:ACTION]-(p)-[:FOR]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Show specific predictive activities for the wind turbine Converter,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,What are specific predictive activities for the Converter of the wind turbine?,"MATCH(n:Predictive)-[:ACTION]-(p)-[:FOR]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Show specific corrective actions for fault event affecting wind turbine Converter system,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,What are specific corrective activities for fault event causing inconsistency in the wind turbineConverter System?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,What are different fault events affecting the Converter System in the wind turbine?,"MATCH(p)-[:AFFECTS]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,What fault events affect the wind turbine Converter System?,"MATCH(p)-[:AFFECTS]-(q{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,What are specific corrective activities for fault in wind turbine Converter?,"MATCH(n:Corrective)-[:ACTION]-(p)-[:FOR]-(q)-[:AFFECTS]-(r{name:""Converter""}) RETURN p",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
